away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
14,12,0,20.6381713179,24.6741439873,-1.8301824,-2.4022673351,2,7.6923076923,0,1,5,0,23.2568969417,20.636972562,1.2122971595,0.9524608,2,92.3076923077,0,1,16,Santo Andre,Sesi,1,2011
6,14,1,22.7696360071,21.7503594998,-0.285888,1.2029262209,2,61.5384615385,0,5,4,1,23.5335159696,21.2816498093,1.215716923,1.5028096,2,69.2307692308,0,1,16,Londrina,Pinheiros,1,2011
4,1,1,22.9402815051,20.1369100616,1.064,1.2973833298,7,83.3333333333,0,3,2,1,23.9821094926,21.9348458649,1.3444251509,2.2889344,2,76.9230769231,0,0,16,Cimed,America Volei,1,2011
15,9,0,19.5149334443,23.1086063832,-1.765568,-1.9582309949,2,0,0,11,10,0,22.2591450481,22.39722525,-0.3263139881,0.08544,4,41.6666666667,0,1,16,Ulbra Sao Caetano,Volei Futuro,1,2011
15,9,0,19.6519467555,23.2068851065,-1.6124544,-1.766584796,4,0,0.2,1,5,1,23.6055175534,20.242911383,1.5698377276,1.36196864,4,92.8571428571,0,1,20,Ulbra Sao Caetano,Sesi,1,2011
3,1,1,23.2022252041,20.1095280493,1.2512,1.4379066638,4,84.6153846154,0,11,12,0,21.6132030248,22.8691411234,-0.6573424886,0.2064,4,41.6666666667,0,0,20,Cimed,Sao Bernardo,1,2011
12,11,0,21.5405623119,24.2850186377,-1.27456,-1.5509431378,6,25,0,9,10,1,22.5273160385,21.9577802,-0.0610511905,0.268352,4,46.1538461538,0,1,20,Blumenau,Volei Futuro,1,2011
9,9,1,23.2438298341,21.7095626794,-0.407104,0.5405582462,6,42.8571428571,-0.2,7,10,1,23.0218528308,21.36622416,0.5511590476,0.8146816,2,50,0,1,22,Medley,Volei Futuro,1,2011
11,12,0,21.6405624199,23.1953128987,-0.78120448,-0.9258739909,2,38.4615384615,0,15,9,0,20.1215574044,23.4655080852,-1.8132678368,-1.352576,2,0,0,0,22,Sao Bernardo,Ulbra Sao Caetano,1,2011
6,14,0,22.2823754724,22.4002875999,-0.8287104,0.3623409767,6,57.1428571429,-0.6,14,12,0,20.2438703876,24.7393151898,-2.5218138681,-1.808768,6,7.1428571429,0,0,22,Londrina,Santo Andre,1,2011
3,3,1,24.2410047766,20.4343745517,1.0731392,2.1800464304,7,85.7142857143,-0.4,8,8,0,21.9560236937,21.9115130643,-0.0237245994,0.239168,7,50,0,0,23,Sada Cruzeiro,Minas,1,2011
11,13,1,22.4846023543,22.0952889139,-0.6793344,-0.0338095186,7,41.6666666667,0,13,6,0,19.8262978724,23.5361915221,-1.4827736621,-0.17632,7,23.0769230769,0,1,23,Volta Redonda,Fatima UCS,1,2011
3,1,1,23.4617801633,20.4376224394,1.40096,1.5503253311,3,85.7142857143,-0.6,13,11,0,21.0324498495,24.4280149101,-1.8407545102,-0.8489344,3,23.0769230769,0,0,23,Cimed,Blumenau,1,2011
1,5,1,23.7844140427,20.5943291064,1.495232,1.6558701821,5,93.3333333333,-0.4,5,4,1,23.8268127757,21.0919865141,1.5725735384,1.80224768,7,71.4285714286,0,0,25,Sesi,Pinheiros,1,2011
8,8,0,21.814818955,22.3292104514,-0.03085568,-0.4189796795,3,46.6666666667,-0.4,9,9,0,22.6617305339,22.3676501435,-0.167553403,0.32937472,4,40,0,0,26,Minas,Medley,1,2011
13,11,0,21.4259598796,24.7424119281,-1.619648,-2.0726036082,5,21.4285714286,0,11,13,0,21.8543485501,22.6762311311,-0.6270476149,0.42784,5,38.4615384615,0,0,28,Blumenau,Volta Redonda,1,2011
4,2,0,23.1856875941,22.3978766919,0.130496,0.6755401207,7,71.4285714286,-0.6,14,12,0,20.3284296434,24.7914521519,-2.6174510944,-2.0470144,6,6.6666666667,0,0,28,America Volei,Santo Andre,1,2011
2,1,1,23.9694241306,20.9500979515,1.720768,1.8402602649,5,86.6666666667,-0.6,13,6,1,20.8610382979,22.6956198844,-0.5862189297,0.458944,5,28.5714285714,0,0,28,Cimed,Fatima UCS,1,2011
5,4,0,23.4114502205,21.6735892113,0.117888,0.8580588307,3,66.6666666667,-0.6,10,12,1,22.5124499359,23.456250319,-0.3406991927,-0.23488,6,42.8571428571,0,1,28,Pinheiros,Sao Bernardo,1,2011
3,3,1,24.1928038213,20.5974996413,1.25851136,2.1440371443,6,86.6666666667,-0.4,7,10,1,23.4174822646,21.1596459947,1.0409272381,1.25174528,7,53.3333333333,0,0,29,Sada Cruzeiro,Volei Futuro,1,2011
2,1,1,24.1755393045,20.4934116946,1.9766144,2.0722082119,1,87.5,-0.6,11,13,0,22.1501455068,23.3409849049,-1.1016380919,-0.257728,1,35.7142857143,0,0,29,Cimed,Volta Redonda,1,2011
9,12,1,22.5599599487,22.8650002552,-0.224963584,0.1274406458,2,46.6666666667,0.6,2,5,1,23.8275312341,20.8254632851,1.7246961457,1.489574912,5,93.75,0,1,30,Sao Bernardo,Sesi,1,2011
12,11,1,22.3407679037,24.4605962091,-0.6957184,-1.0580828865,2,26.6666666667,-0.6,13,6,0,20.4221639717,23.1564959075,-1.0689751437,-0.2328448,2,26.6666666667,0,1,30,Blumenau,Fatima UCS,1,2011
15,9,0,20.9972459235,23.9724064682,-1.68996352,-1.8506142694,7,0,0.4,5,4,0,22.8291601764,21.888871369,0.2864470646,1.041798144,2,62.5,0,1,30,Ulbra Sao Caetano,Pinheiros,1,2011
3,3,1,24.6209097237,20.7446663797,1.606809088,2.3152297154,2,87.5,-0.6,10,9,0,22.3693844271,22.0141201148,-0.3340427224,0.063499776,5,37.5,0,1,31,Sada Cruzeiro,Medley,1,2011
8,8,1,21.571855164,22.1033683612,0.175315456,-0.1351837436,5,50,0.2,7,10,0,23.0006524784,22.1943834624,0.2327417905,0.401396224,2,50,0,0,31,Minas,Volei Futuro,1,2011
4,2,1,23.2985500752,22.1683013535,0.5043968,0.9404320966,3,73.3333333333,-0.6,6,14,1,22.8259003779,22.0535634132,0.8898727814,1.2630656,7,60,0,0,31,America Volei,Londrina,1,2011
