,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
12,2,6,1,21.5238750847445,20.5620028246348,0.14335881216,0.375392130221929,3,100,-0.68,10,10,0,19.5951535818544,21.5596435716602,-1.69693361026241,-1.24716077170688,3,0,0,0,8,Canoas,JF Volei,12,2013
13,6,3,1,19.6,19.488,-0.2,0.04,2,50,0,11,12,0,19.6324908886922,22.1126320705797,-1.72459284409719,-1.25598464,3,0,0,0,8,Brasil Volei Clube,Funvic,12,2013
14,7,5,1,22.9397387990638,22.2799126920587,-0.103631691007452,0.522588988703246,3,100,-0.87744,12,12,0,20.0263913031101,22.0405380534729,-1.50264830703721,-0.980211467707014,2,0,0,1,8,Minas,America Volei,12,2013
15,5,2,1,23.0101048494472,20.3245160719643,1.22526253283952,1.60144606309713,4,100,0,10,8,0,20.1533333333333,20.7733333333333,-0.88,-0.6,3,0,0,0,8,Sada Cruzeiro,Maringa,12,2013
16,6,3,0,20.9657636448684,22.4428171361165,0.768916236515948,-0.318285135858281,4,50,-0.1168,8,1,0,21.8017168950495,20.6203169055664,0.838534026646178,1.77698682941031,3,50,0,0,8,Sesi,RJX,12,2013
17,8,1,0,21.5413735160396,20.7962535244531,0.002859577372312,0.270827221316943,3,33.3333333333333,-0.12,1,6,1,21.4191000677956,19.9162689263745,0.900313704177543,0.5265840128,3,100,0,0,11,RJX,Canoas,12,2013
18,2,8,1,20.4635353612887,21.5201531930649,-0.777385532940107,0.139173714379223,4,100,1.5152,8,5,0,21.6851243725843,22.0239301536469,-0.181928809037403,1.19171358603973,3,50,0,1,11,Sao Bernardo,Minas,12,2013
19,11,10,0,19.1427895321502,21.4477148573281,-1.97084406861125,-1.95754688820993,6,0,0,5,3,1,19.56,19.0304,0.232,0.2,6,66.6666666666667,0,1,14,JF Volei,Brasil Volei Clube,12,2013
20,12,12,0,19.1459927109538,21.5701056564637,-1.6715548672,-1.57967427527775,7,0,0.4,6,5,1,21.6814328314008,21.2858107895842,0.454456952770078,1.55337086883178,4,66.6666666666667,0,1,15,Funvic,Minas,12,2013
21,9,12,1,20.2211130424881,20.9657637761117,-1.34662083428506,-0.602118645629769,7,33.3333333333333,0.7664,6,3,1,21.0726109158947,22.0542537088932,0.145371891313375,-0.321912849324117,7,66.6666666666667,0,1,15,America Volei,Sesi,12,2013
22,5,8,0,20.0374949556976,21.5494558877852,-1.22190842635209,-0.488661028496622,4,75,0.68,4,6,0,20.8852800542365,19.6830151410996,0.320250963342035,0.02126721024,4,75,0,1,15,Sao Bernardo,Canoas,12,2013
23,10,8,0,18.9226666666667,20.8186666666667,-0.4,-1.304,7,0,0,8,7,0,20.7630253466585,20.2578524629204,0.22506712096326,0.820017703583745,7,66.6666666666667,0,0,15,Maringa,Volta Redonda,12,2013
24,7,1,1,20.9830988128317,20.3870028195625,0.402287661897849,0.616661777053554,4,50,-0.22464,6,2,1,22.6080838795578,19.0596128575714,1.8811568504777,2.09215037880283,7,100,0,1,15,RJX,Sada Cruzeiro,12,2013
25,3,3,1,20.6580887327158,21.0034029671145,1.01513298921276,0.3162975130507,4,75,-0.220998144,5,5,1,21.2451462651206,20.5286486316674,0.763565562216062,1.64269669506543,4,75,0,0,19,Sesi,Minas,12,2013
26,4,3,1,20.3813333333333,19.5576533333333,0.04,0.7856,6,75,0,3,2,1,22.1864671036462,18.4476902860571,1.90492548038216,2.07372030304227,5,100,0,0,20,Brasil Volei Clube,Sada Cruzeiro,12,2013
27,3,6,1,20.4282240433892,19.2264121128797,0.714687049728,0.456200770673628,6,80,-0.72,8,7,0,20.3437536106602,20.6062819703363,-0.419946303229392,0.056014162866996,6,50,0,0,21,Canoas,Volta Redonda,12,2013
