home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result,Home_AZS Czestochowa,Home_Bedzin,Home_Belchatow,Home_Bielsko-Biala,Home_Bydgoszcz,Home_Cuprum,Home_Czarni Radom,Home_GKS Katowice,Home_Gdansk,Home_Jastrzebski,Home_Kedzierzyn-Kozle,Home_Kielce,Home_Olsztyn,Home_Rzeszow,Home_Slepsk Suwalki,Home_Szczecin,Home_Verva Warszawa,Home_Wielun,Home_Zawiercie,Away_AZS Czestochowa,Away_Bedzin,Away_Belchatow,Away_Bielsko-Biala,Away_Bydgoszcz,Away_Cuprum,Away_Czarni Radom,Away_GKS Katowice,Away_Gdansk,Away_Jastrzebski,Away_Kedzierzyn-Kozle,Away_Kielce,Away_Olsztyn,Away_Rzeszow,Away_Slepsk Suwalki,Away_Szczecin,Away_Verva Warszawa,Away_Wielun,Away_Zawiercie
22.42554317,21.71328085,21.32292881,22.9937728,3,8,5,8,1,1,0.73487616,-0.27453952,0.2016,-0.904,7,7,0.0,0,62.5,37.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20.69407812,23.03921984,22.95153118,21.85215573,9,7,8,3,0,1,-1.01887744,0.00717312,-0.4064,-0.4128,7,7,0.0,0,25.0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22.42680209,21.700275199999997,22.61488887,20.50524245,6,5,6,2,1,0,0.01913344,-0.04053248,0.46399999999999997,0.024,7,7,0.0,0,50.0,50.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20.50733824,20.72848051,23.40367509,21.9725673,10,3,7,4,0,0,-1.49304832,-0.18469376,-0.152,-0.2656,7,7,0.0,0,25.0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20.73920393,21.72022016,23.72294007,20.20419396,10,4,7,2,0,1,-1.7944386559999999,0.167574016,-0.7216,0.2192,3,3,-0.6,0,22.22222222,55.55555556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23.43137587,22.21036561,21.61505792,22.91294737,7,5,3,10,1,0,0.605738496,-0.319837696,0.2592,-0.0288,4,4,-0.4,0,44.44444444,55.55555556,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23.65572557,21.10395802,19.44774844,23.39501824,1,8,1,8,1,0,2.120244736,-0.8196316159999999,1.3104,-1.3232,4,4,0.6,0,88.88888889,33.33333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21.58278441,20.68859583,21.91138717,23.36122494,2,9,4,8,1,0,0.452244992,-1.4151019519999999,0.2208,-0.8432,3,4,0.2,0,66.66666667,22.22222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21.74144167,22.94043453,22.4519111,20.79167638,6,4,6,5,0,1,-0.184693248,1.187900928,0.1712,0.6736,4,5,0.2,0,44.44444444,66.66666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.61176736,23.92458045,22.29204634,18.62486542,7,1,3,1,0,1,-0.115409203,2.296195789,-0.39264,1.50496,3,3,-0.2,0,40.0,90.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.26622753,22.76829249,21.46244307,22.19702456,2,5,4,10,1,1,0.961795994,0.344129843,0.77664,0.57696,3,3,-0.2,0,70.0,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21.65617613,20.48421,20.24335517,23.68897995,4,9,2,8,1,0,0.334059213,-1.7320815619999999,0.15456,-1.2745600000000001,3,3,0.6,0,60.0,20.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21.92648667,19.94983308,23.09486221,23.71601459,6,8,6,8,0,0,-0.747754598,-1.255705293,-0.46303999999999995,-1.6585599999999998,2,3,-0.4,0,40.0,30.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23.48568096,20.67136314,21.16667444,23.25835206,4,10,5,7,1,0,1.5503207419999998,-1.635550925,0.7612800000000001,-1.6889599999999998,2,3,-0.2,0,70.0,20.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.81463399,21.364940899999997,22.85761965,20.47468414,5,4,10,2,0,1,-0.124696125,0.46724737,-0.10976,0.37535999999999997,7,7,-0.4,0,54.54545455,63.63636364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20.73709051,22.54118934,23.80668165,22.47588977,10,6,7,6,0,1,-1.90844074,0.001796321,-0.77728,-0.5868800000000001,7,7,-0.6,0,18.18181818,45.45454545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.667368,23.98854477,22.99118396,21.13333955,9,3,8,5,0,1,-1.585665249,1.840256594,-0.92512,1.13888,7,7,-0.6,0,18.18181818,72.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.95986646,22.33941389,23.97281167,22.68363707,8,7,8,3,0,0,-1.6045642340000001,-0.49232736299999996,0.29504,0.26976,7,7,-0.6,0,27.27272727,36.36363636,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21.06967241,20.86789317,23.40534532,23.72824934,10,8,7,8,0,1,-1.726752592,-0.883651387,-0.821824,-1.926848,7,7,-0.4,0,16.66666667,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24.19083581,23.05170719,20.77333831,22.73609572,2,5,5,10,1,1,2.072205275,0.3002431,1.2090239999999999,0.061568,7,7,0.4,0,75.0,58.33333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22.91298202,22.42153111,21.76995446,23.04690966,3,8,4,3,1,0,1.169436795,-0.79386189,1.021312,-0.184192,7,7,0.2,0,72.72727273,33.33333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22.39295147,20.40056107,22.46071182,23.39294717,6,9,6,8,1,0,0.201437057,-1.8685321990000001,0.229568,-1.219648,7,7,-0.6,0,50.0,16.66666667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22.22764787,23.33038562,23.98259947,21.81596356,7,3,8,4,1,1,-0.10692111,1.535549436,0.6360319999999999,0.38752,7,7,-0.4,0,38.46153846,75.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23.98966436,24.40266865,19.14989233,21.41867065,1,3,1,5,1,1,2.236956631,2.05776422,1.64832,1.511104,7,7,0.6,0,90.90909091,76.92307692,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.97044885,21.85573793,23.21435774,24.25760959,9,10,8,7,0,0,-1.89482576,-1.9814020730000002,-1.340096,-1.951168,7,7,-0.4,0,15.38461538,15.38461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.33722489,21.54195272,23.43752772,21.17974731,8,4,3,2,0,0,-1.235089512,-0.026202104,-0.714112,-0.099712,7,7,0.4,0,30.76923077,58.33333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23.24136575,22.41436118,23.23887658,21.61856945,5,6,10,6,0,1,-0.15980552,0.5611496460000001,0.312192,-0.269504,7,7,0.4,0,53.84615385,53.84615385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.99173149,23.81430849,19.61991387,21.45277085,1,2,1,4,1,1,2.189565305,1.628439549,1.7186560000000002,0.710016,2,2,-0.4,0,91.66666667,76.92307692,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
