away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Home_America Volei,Home_Bento Volei,Home_Blumenau,Home_Brasil Volei Clube,Home_Canoas,Home_Cimed,Home_Corinthians/Guarulhos,Home_Fatima UCS,Home_Funvic,Home_JF Volei,Home_Londrina,Home_Maringa,Home_Medley,Home_Minas,Home_Pinheiros,Home_Ponta Grossa,Home_RJX,Home_SESC-RJ,Home_Sada Cruzeiro,Home_Santo Andre,Home_Sao Bernardo,Home_Sao Jose dos Campos,Home_Sao Judas,Home_Sesi,Home_Super Imperatriz,Home_UM Itapetininga,Home_Ulbra Sao Caetano,Home_Volei Futuro,Home_Volei Renata,Home_Volei Ribeirao,Home_Voleisul/Paqueta,Home_Volta Redonda,Away_America Volei,Away_Bento Volei,Away_Blumenau,Away_Brasil Volei Clube,Away_Canoas,Away_Cimed,Away_Corinthians/Guarulhos,Away_Fatima UCS,Away_Funvic,Away_JF Volei,Away_Londrina,Away_Maringa,Away_Medley,Away_Minas,Away_Pinheiros,Away_Ponta Grossa,Away_RJX,Away_SESC-RJ,Away_Sada Cruzeiro,Away_Santo Andre,Away_Sao Bernardo,Away_Sao Jose dos Campos,Away_Sao Judas,Away_Sesi,Away_Super Imperatriz,Away_UM Itapetininga,Away_Ulbra Sao Caetano,Away_Volei Futuro,Away_Volei Renata,Away_Volei Ribeirao,Away_Voleisul/Paqueta,Away_Volta Redonda
8,4,0,21.613333333299998,21.7733333333,0.0,-0.28,7,50.0,0.0,12,11,0,19.5333333333,21.0,-0.6,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,0,20.372,22.244,-0.976,-0.976,6,0.0,0.0,8,14,0,19.5653333333,22.024,-0.8240000000000001,0.0,6,33.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,1,20.8,20.7013333333,0.2,0.10400000000000001,2,66.6666666667,0.0,14,13,0,20.56,21.64,-1.064,-0.68,2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,1,20.2,20.24,0.2,0.2,2,100.0,0.0,15,6,0,20.36,21.3333333333,-0.7440000000000001,-0.36,2,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,5,1,22.4596,21.476,0.4,0.848,2,100.0,0.0,15,11,0,19.8266666667,21.8,-1.08,-0.6,2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,9,0,20.784000000000002,21.494,0.0,-0.56,7,0.0,0.0,1,2,1,22.988533333299998,19.9475733333,1.5609600000000001,1.264,2,100.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,3,1,22.778133333299998,20.458346666700002,0.9520000000000001,1.2016,2,75.0,0.0,10,14,0,19.7856,22.6192,-1.2592,-0.6,2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,1,22.2906666667,21.6186666667,0.6,0.376,2,66.6666666667,0.0,4,1,0,22.720266666700002,21.508133333299998,0.7712,0.46399999999999997,2,75.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8,1,21.2976,21.9285333333,-0.1808,-0.1808,2,25.0,0.0,12,12,0,20.7274666667,22.2074666667,-0.7152,-0.6,2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13,1,21.198,21.811999999999998,-0.6,-0.4512,4,25.0,0.0,3,5,1,22.967679999999998,20.1141333333,1.2784,0.56,4,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
