Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
18,12,2010,Olsztyn,Kielce,21.06967241,20.86789317,23.40534532,23.72824934,10,8,7,8,0,1,-1.726752592,-0.883651387,-0.821824,-1.926848,7,7,-0.4,0,16.66666667,33.33333333,0
18,12,2010,AZS Czestochowa,Verva Warszawa,24.19083581,23.05170719,20.77333831,22.73609572,2,5,5,10,1,1,2.072205275,0.3002431,1.209024,0.061568,7,7,0.4,0,75,58.33333333,1
18,12,2010,Rzeszow,Jastrzebski,22.91298202,22.42153111,21.76995446,23.04690966,3,8,4,3,1,0,1.169436795,-0.79386189,1.021312,-0.184192,7,7,0.2,0,72.72727273,33.33333333,1
18,12,2010,Bydgoszcz,Wielun,22.39295147,20.40056107,22.46071182,23.39294717,6,9,6,8,1,0,0.201437057,-1.868532199,0.229568,-1.219648,7,7,-0.6,0,50,16.66666667,1
29,12,2010,Kielce,Rzeszow,22.22764787,23.33038562,23.98259947,21.81596356,7,3,8,4,1,1,-0.10692111,1.535549436,0.636032,0.38752,7,7,-0.4,0,38.46153846,75,0
29,12,2010,Belchatow,AZS Czestochowa,23.98966436,24.40266865,19.14989233,21.41867065,1,3,1,5,1,1,2.236956631,2.05776422,1.64832,1.511104,7,7,0.6,0,90.90909091,76.92307692,1
29,12,2010,Wielun,Olsztyn,19.97044885,21.85573793,23.21435774,24.25760959,9,10,8,7,0,0,-1.89482576,-1.981402073,-1.340096,-1.951168,7,7,-0.4,0,15.38461538,15.38461538,0
29,12,2010,Jastrzebski,Kedzierzyn-Kozle,22.33722489,21.54195272,23.43752772,21.17974731,8,4,3,2,0,0,-1.235089512,-0.026202104,-0.714112,-0.099712,7,7,0.4,0,30.76923077,58.33333333,0
29,12,2010,Verva Warszawa,Bydgoszcz,23.24136575,22.41436118,23.23887658,21.61856945,5,6,10,6,0,1,-0.15980552,0.561149646,0.312192,-0.269504,7,7,0.4,0,53.84615385,53.84615385,1
31,12,2010,Belchatow,Rzeszow,23.99173149,23.81430849,19.61991387,21.45277085,1,2,1,4,1,1,2.189565305,1.628439549,1.718656,0.710016,2,2,-0.4,0,91.66666667,76.92307692,1
