,Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
41,17,12,2011,Kielce,Belchatow,22.069063680000006,23.49455274666667,21.586943146666673,20.75384064,7,2,8,1,0,1,0.20471551999999998,1.43130368,-0.3552000000000002,0.6368,6,7,0.0,0,37.5,75.0,0
42,17,12,2011,Jastrzebski,Rzeszow,21.821238613333335,23.266305066666668,22.211547306666674,21.273162666666668,5,3,7,2,1,1,0.10781952000000002,0.7140915200000001,0.17600000000000005,0.10400000000000001,7,7,0.0,0,62.5,75.0,1
43,18,12,2011,Olsztyn,Kedzierzyn-Kozle,20.456085333333338,23.648122880000003,23.438233600000004,21.927854080000007,9,2,10,3,0,0,-1.58819072,1.3268044800000007,-0.376,1.104,7,7,0.0,0,25.0,87.5,1
44,18,12,2011,Verva Warszawa,Gdansk,20.80140288,21.40655530666667,22.031843840000004,22.592071680000004,9,10,5,10,1,1,-0.6842956800000002,-0.8212044800000005,-0.8208,-1.6432000000000004,7,7,0.0,0,25.0,25.0,1
45,29,12,2011,Belchatow,Gdansk,23.075642197333337,21.591910912000003,20.403072512,23.073657344000004,1,10,1,10,1,0,1.345042944,-1.2569635840000006,1.0288000000000002,-1.9145600000000005,7,7,0.4,0,77.77777777777779,22.22222222222222,1
46,29,12,2011,Olsztyn,Rzeszow,21.364868266666672,22.463044053333338,23.700586880000003,21.618530133333337,9,3,10,2,1,0,-0.870552576,0.17127321600000012,0.09920000000000001,-0.3168,7,7,-0.6000000000000001,0,33.33333333333333,66.66666666666666,0
47,30,12,2011,Bydgoszcz,Verva Warszawa,22.168492885333336,21.641122304000003,21.429976917333335,22.09214173866667,5,8,6,5,1,1,0.01131878399999997,0.0525634559999999,0.45920000000000016,-0.3568000000000002,7,7,0.4,0,55.55555555555556,33.33333333333333,1
48,30,12,2011,Kielce,Kedzierzyn-Kozle,21.455250944000007,23.868498304000003,21.54955451733334,22.542283264000005,7,2,8,3,0,0,-0.03622758400000001,0.6614435840000007,-0.48416000000000015,0.4832000000000001,7,7,-0.4,0,33.33333333333333,77.77777777777779,0
49,30,12,2011,Jastrzebski,AZS Czestochowa,22.056990890666672,21.46971613866667,21.61923784533334,23.297926997333338,5,6,7,4,1,0,0.48625561600000006,-0.6821186560000001,0.5408000000000001,-0.8432000000000002,7,7,-0.4,0,66.66666666666666,33.33333333333333,1
50,14,1,2012,Gdansk,Bydgoszcz,20.806862062933337,22.13479430826667,23.458925875200006,21.503981533866668,10,5,10,6,0,1,-1.6055708672000006,0.2090550272,0.0911999999999999,-0.3577600000000001,7,7,-0.6000000000000001,0,20.0,60.0,0
