,Date,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,month,result,year
50,4,1,1,1,Belchatow,23.9245804544,18.62486541653334,1.5049600000000003,2.2961957888000004,3,90.0,-0.2,7,3,0,Jastrzebski,22.611767364266672,22.292046336000002,-0.11540920320000003,-0.39264,3,40.0,0,12,0,2010
51,4,5,10,1,Verva Warszawa,22.768292488533337,22.197024563200006,0.57696,0.3441298432000002,3,60.0,-0.2,2,4,1,Rzeszow,22.266227527680005,21.462443069440006,0.9617959936000002,0.7766400000000001,3,70.0,0,12,1,2010
52,4,9,8,0,Wielun,20.484209998506675,23.68897995434667,-1.2745600000000001,-1.7320815616000005,3,20.0,0.6000000000000001,4,2,1,Kedzierzyn-Kozle,21.656176128000006,20.24335517013334,0.3340592128000001,0.15456000000000014,3,60.0,0,12,1,2010
53,4,8,11,0,Kielce,19.94983307946667,23.716014592000008,-1.6585600000000005,-1.2557052928000003,3,30.0,-0.4,6,6,0,Bydgoszcz,21.92648667136001,23.09486221312,-0.7477545984000001,-0.46304,2,40.0,0,12,1,2010
54,4,10,7,0,Olsztyn,20.671363140266678,23.258352059733337,-1.6889600000000002,-1.6355509248000002,3,20.0,-0.2,4,5,1,AZS Czestochowa,23.485680960853337,21.166674438826675,1.5503207424000003,0.7612800000000001,2,70.0,0,12,1,2010
55,11,4,2,1,Kedzierzyn-Kozle,21.364940902400004,20.474684136106674,0.3753600000000001,0.4672473702400001,7,63.63636363636363,-0.4,5,10,0,Verva Warszawa,22.81463399082667,22.857619650560007,-0.12469612543999986,-0.10975999999999997,7,54.54545454545454,0,12,1,2010
56,11,6,6,1,Bydgoszcz,22.54118933708801,22.475889770496,-0.5868800000000001,0.0017963212799999573,7,45.45454545454545,-0.6000000000000001,10,7,0,Olsztyn,20.737090512213342,23.806681647786668,-1.9084407398400003,-0.7772800000000002,7,18.181818181818183,0,12,0,2010
57,11,3,5,1,AZS Czestochowa,23.98854476868267,21.13333955106134,1.1388800000000003,1.8402565939200004,7,72.72727272727273,-0.6000000000000001,9,8,0,Wielun,20.667367998805343,22.991183963477337,-1.5856652492800005,-0.9251200000000002,7,18.181818181818183,0,12,0,2010
58,11,7,3,0,Jastrzebski,22.33941389141334,22.683637068800003,0.26976,-0.49232736256000004,7,36.36363636363637,-0.6000000000000001,8,11,0,Kielce,19.959866463573338,23.972811673600006,-1.6045642342400004,0.29503999999999997,7,27.27272727272727,0,12,1,2010
59,18,8,11,1,Kielce,20.86789317085867,23.728249338880005,-1.9268480000000006,-0.8836513873920003,7,33.33333333333333,-0.4,10,7,0,Olsztyn,21.069672409770675,23.405345318229333,-1.7267525918720004,-0.8218240000000001,7,16.666666666666664,0,12,0,2010
60,18,5,10,1,Verva Warszawa,23.05170719266134,22.736095720448006,0.06156800000000001,0.3002430996480001,7,58.333333333333336,0.4,2,5,1,AZS Czestochowa,24.190835814946137,20.77333830751574,2.0722052751360005,1.2090240000000003,7,75.0,0,12,1,2010
61,18,8,3,0,Jastrzebski,22.421531113130673,23.046909655040004,-0.18419200000000002,-0.7938618900480001,7,33.33333333333333,0.2,3,4,1,Rzeszow,22.912982022144007,21.769954455552007,1.1694367948800002,1.021312,7,72.72727272727273,0,12,1,2010
62,18,9,8,0,Wielun,20.400561065710942,23.39294717078187,-1.219648,-1.8685321994240005,7,16.666666666666664,-0.6000000000000001,6,6,1,Bydgoszcz,22.392951469670408,22.460711816396802,0.20143705702399997,0.22956800000000005,7,50.0,0,12,1,2010
63,29,3,4,1,Rzeszow,23.330385617715205,21.81596356444161,0.3875200000000001,1.5355494359040003,7,75.0,-0.4,7,11,1,Kielce,22.227647870020274,23.982599471104006,-0.10692110991360027,0.636032,7,38.46153846153847,0,12,0,2010
64,29,3,5,1,AZS Czestochowa,24.402668651956912,21.418670646012593,1.5111040000000004,2.0577642201088007,7,76.92307692307693,0.6000000000000001,1,1,1,Belchatow,23.989664363520003,19.149892333226674,2.2369566310400004,1.6483200000000002,7,90.9090909090909,0,12,1,2010
65,29,10,7,0,Olsztyn,21.85573792781654,24.257609587916804,-1.9511680000000005,-1.9814020734976006,7,15.384615384615385,-0.4,9,8,0,Wielun,19.970448852568758,23.214357736625498,-1.8948257595392004,-1.3400960000000004,7,15.384615384615385,0,12,0,2010
66,29,4,2,0,Kedzierzyn-Kozle,21.541952721920005,21.17974730888534,-0.09971199999999991,-0.02620210380799992,7,58.333333333333336,0.4,8,3,0,Jastrzebski,22.337224890504537,23.437527724032005,-1.2350895120384002,-0.7141120000000001,7,30.76923076923077,0,12,0,2010
67,29,6,6,1,Bydgoszcz,22.414361175736328,21.618569453117445,-0.2695040000000001,0.5611496456192,7,53.84615384615385,0.4,5,10,0,Verva Warszawa,23.241365754129074,23.238876576358408,-0.15980552028159992,0.312192,7,53.84615384615385,0,12,1,2010
68,31,2,4,1,Rzeszow,23.814308494172167,21.45277085155329,0.7100160000000001,1.6284395487232004,2,76.92307692307693,-0.4,1,1,1,Belchatow,23.991731490816004,19.61991386658134,2.1895653048320005,1.7186560000000002,2,91.66666666666666,0,12,1,2010
69,2,1,1,1,Belchatow,23.743385192652806,19.74593109326507,1.6039680000000005,2.1516522438656005,2,92.3076923076923,-0.2,4,2,1,Kedzierzyn-Kozle,22.566895510869337,21.41046451377494,0.5790383169536002,0.32364800000000016,4,61.53846153846154,0,1,0,2011
70,8,5,10,1,Verva Warszawa,23.59309260330326,22.857767927753393,-0.3507456,0.4721555837747201,7,57.14285714285714,-0.6000000000000001,9,7,1,Olsztyn,21.684590342253234,23.646087670333443,-1.3851216587980806,-1.2574592000000002,7,21.428571428571427,0,1,1,2011
71,8,1,1,1,Belchatow,23.234708154122245,19.51674487461206,1.4831744000000004,1.9213217950924804,6,92.85714285714286,-0.6000000000000001,6,6,0,Bydgoszcz,22.19815560725573,22.294855562493957,-0.1510802835046401,0.5836544000000001,7,50.0,0,1,0,2011
