,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance
62,9,10,0,22.197056,21.829747200000003,0,0.2748800000000001,3,50.0,0.0,5,3,0,23.663256746666672,21.480005461333338,-0.6000000000000001,1.1360000000000001,5,75.0,0
63,13,8,0,21.07481066666667,23.259012906666673,0,-0.4,4,25.0,0.0,4,3,1,23.98060539733334,21.43400436906667,-0.08000000000000007,1.3088000000000002,2,77.77777777777779,0
64,9,10,0,22.0076448,22.513797760000003,0,-0.4,2,42.857142857142854,0.0,6,8,1,22.676797568000005,21.14402180266667,-0.08000000000000007,1.2640000000000002,4,55.55555555555556,0
65,14,12,0,21.112722944,23.572942677333337,0,-1.1440000000000001,7,11.11111111111111,0.0,8,9,1,22.211025408000005,22.05719278933334,1.3360000000000003,0.38880000000000003,7,44.44444444444444,0
66,5,4,1,23.34159172266667,21.173298688000003,0,0.12,3,66.66666666666666,0.0,1,5,1,23.443596049066674,20.12411921066667,0.2,1.4384000000000001,2,100.0,0
67,11,12,1,20.188002133333335,23.19882666666667,0,0.6000000000000001,7,25.0,0.0,12,11,1,21.262295466666668,22.416357333333334,0.4,-0.6112000000000001,7,28.57142857142857,0
68,8,10,1,22.00611584,22.451038208000003,0,0.2,3,50.0,0.0,13,8,0,21.326515200000003,23.607210325333337,-0.6000000000000001,-1.32544,3,22.22222222222222,0
69,5,4,0,23.073273378133337,22.1386389504,0,-0.4,4,60.0,0.0,15,99,0,19.639974229333333,23.16358980266667,-1.2112000000000003,-1.19072,6,0.0,0
70,1,5,1,23.954876839253338,20.49929536853334,0,0.56,4,100.0,0.0,10,10,0,21.214446080000002,22.399722666666673,-0.6000000000000001,1.008,7,42.857142857142854,0
71,9,11,1,22.009836373333336,22.199752533333335,0,0.9200000000000002,7,37.5,0.0,4,1,1,23.94586231466667,20.913235797333336,0.2,1.4455680000000002,7,88.88888888888889,0
72,8,10,0,21.724892672000003,22.400830566400003,0,-0.2,7,44.44444444444444,0.0,6,9,1,22.768820326400004,21.51242089813334,1.6688000000000003,0.9110400000000001,7,50.0,0
73,7,8,0,22.581438054400007,21.31521744213334,0,-0.26400000000000007,7,50.0,0.0,9,11,0,20.941202432000004,22.75980202666667,-0.6000000000000001,0.11104000000000003,6,33.33333333333333,0
74,15,99,0,19.66197938346667,23.430871842133335,0,-1.3689600000000004,7,0.0,0.0,12,13,0,21.489100800000003,23.101128533333334,-0.6000000000000001,-0.14400000000000013,7,25.0,0
75,12,8,1,21.501212160000005,23.00576826026667,0,-0.2800000000000001,7,30.0,0.0,14,12,0,20.75684502186667,23.85835414186667,-0.6000000000000001,-1.4512,7,10.0,0
76,2,2,1,24.10568260266667,21.28628749653334,0,1.4640000000000002,7,90.0,0.0,1,5,1,24.16390147140267,19.932769628160006,0.6000000000000001,1.55072,7,100.0,0
77,12,10,0,20.50489019733334,22.919778133333338,0,-1.08,7,37.5,0.0,13,12,0,20.417068373333333,23.559061333333336,-0.6000000000000001,-0.08800000000000002,7,22.22222222222222,0
78,4,3,1,24.184484317866673,21.613870161920005,0,0.536,7,80.0,0.0,3,1,1,24.156689851733336,20.063921971200003,0.7600000000000001,1.7564544000000002,7,90.0,0
79,7,8,1,22.865150443520008,21.35217395370667,0,0.4,2,54.54545454545454,0.0,4,1,0,23.32535188138667,19.971137576960004,0.4080000000000001,1.2051635200000004,1,81.81818181818183,0
80,8,10,1,21.253912157866672,22.53582250666667,0,0.4,1,44.44444444444444,0.0,11,13,1,22.041280640000004,23.08090282666667,-0.08000000000000007,0.28479999999999994,1,33.33333333333333,0
81,10,10,0,21.779914137600002,23.120664453120003,0,-0.6000000000000001,3,40.0,0.0,14,12,0,21.20547601749334,24.55334998016,-1.08,-1.76096,1,9.090909090909092,0
82,4,2,0,23.484546082133335,21.06902999722667,0,-0.2,2,81.81818181818183,0.0,5,4,1,23.358618702506668,21.66091116032,0.4,1.1606400000000003,7,63.63636363636363,0
83,15,99,0,20.329583506773336,23.59469747370667,0,-0.4,2,0.0,0.0,13,12,0,20.533654698666666,23.69724906666667,-0.8800000000000001,-0.47040000000000004,2,20.0,0
84,3,3,1,23.26758745429334,21.291096129536005,0,0.2,2,81.81818181818183,0.0,13,11,0,21.052961945600003,23.007841621333338,-0.8800000000000001,-0.311168,3,30.0,0
85,11,8,1,22.667636394666673,23.004614608213338,0,0.6000000000000001,2,36.36363636363637,0.0,6,9,1,23.415056261120004,21.609936718506674,1.9350400000000003,1.3288320000000002,4,54.54545454545454,0
86,10,10,0,21.083129726293336,22.548658005333337,0,-0.2,4,40.0,0.0,8,10,1,22.373931310080003,22.496531562496003,0.4,0.3568000000000002,4,45.45454545454545,0
87,6,9,1,22.812045008896007,21.48794937480534,0,1.7480320000000003,5,58.333333333333336,0.0,1,5,1,23.371121177122138,20.146215702528007,0.6800000000000002,1.440576,7,100.0,0
88,10,13,1,22.153024512000002,22.544722261333334,0,0.13599999999999995,6,40.0,0.0,2,3,1,23.814069963434672,21.032876903628804,0.6000000000000001,1.6470400000000003,5,83.33333333333334,0
89,15,99,0,20.14366680541867,22.635757978965337,0,-0.2,5,0.0,0.0,11,8,0,22.334109115733337,22.483691686570673,-0.2,-0.860352,5,33.33333333333333,0
90,13,11,0,20.842369556480005,23.60627329706667,0,-1.3040000000000003,5,27.27272727272727,0.0,4,2,0,23.22763686570667,21.335223997781338,-0.2,2.1111680000000006,5,75.0,0
91,12,12,1,20.186923758933336,22.837799253333337,0,-0.5040000000000002,5,27.27272727272727,0.0,7,8,0,22.452120354816007,21.36173916296534,-0.2,0.8112000000000004,6,50.0,0
92,14,12,0,20.964380813994673,24.592679984128,0,-1.2640000000000002,6,8.333333333333332,0.0,6,4,1,23.166894962005337,21.768728928256003,0.52,1.1285120000000004,5,66.66666666666666,0
93,12,12,0,20.19953900714667,23.170239402666674,0,-0.4,2,25.0,0.0,2,3,1,24.05125597074774,20.959634856236377,1.08,1.9176320000000004,2,84.61538461538461,0
94,11,13,0,21.855752942933336,23.03577780906667,0,-0.6000000000000001,2,36.36363636363637,0.0,7,8,1,22.861696283852808,21.139391330372273,0.24,1.0489600000000003,2,53.84615384615385,0
95,9,10,1,21.26650378103467,22.39892640426667,0,0.2,4,45.45454545454545,0.0,11,8,1,22.86728729258667,21.386953349256537,0.44000000000000006,-0.08828159999999996,2,38.46153846153847,0
96,14,12,0,20.638171317862405,24.6741439873024,0,-0.6000000000000001,2,7.6923076923076925,0.0,1,5,0,23.25689694169771,20.636972562022407,0.34400000000000014,0.9524608000000001,2,92.3076923076923,0
97,6,9,1,22.769636007116805,21.750359499844272,0,0.2,2,61.53846153846154,0.0,5,4,1,23.53351596960427,21.28164980927147,1.016,1.5028096000000004,2,69.23076923076923,0
98,5,1,1,22.940281505109336,20.136910061568003,0,0.5264000000000001,7,83.33333333333334,0.0,4,2,1,23.982109492565336,21.934845864891738,0.44000000000000006,2.2889344000000005,2,76.92307692307693,0
99,15,99,0,19.514933444334936,23.10860638317227,0,-0.6000000000000001,2,0.0,0.0,11,10,0,22.259145048064003,22.3972252499968,0.12000000000000005,0.08544000000000013,4,41.66666666666667,0
100,15,99,0,19.65194675546795,23.20688510653782,0,-0.2,4,0.0,0.2,1,5,1,23.60551755335817,20.24291138295126,0.8752000000000002,1.3619686400000002,4,92.85714285714286,0
101,3,1,1,23.202225204087473,20.109528049254404,0,0.4,4,84.61538461538461,0.0,11,10,0,21.61320302482774,22.869141123413335,-0.4,0.20639999999999992,4,41.66666666666667,0
102,13,11,0,21.54056231185067,24.285018637653337,0,-0.6000000000000001,6,25.0,0.0,8,10,1,22.527316038451204,21.95778019999744,0.29600000000000004,0.26835200000000015,4,46.15384615384615,0
103,9,8,1,23.243829834069338,21.70956267940523,0,0.7520000000000001,6,42.857142857142854,-0.2,7,10,1,23.021852830760963,21.366224159997955,0.8368000000000001,0.8146816000000002,2,50.0,0
104,11,10,0,21.640562419862196,23.19531289873067,0,-0.7200000000000001,2,38.46153846153847,0.0,15,99,0,20.12155740437436,23.465508085230255,-0.4,-1.352576,2,0.0,0
105,7,9,0,22.282375472360112,22.40028759987542,0,-0.6000000000000001,6,57.14285714285714,-0.6000000000000001,14,12,0,20.243870387623257,24.73931518984192,-0.6000000000000001,-1.8087680000000002,6,7.142857142857142,0
106,2,3,1,24.241004776598192,20.43437455165577,0,1.4640000000000002,7,85.71428571428571,-0.4,8,8,0,21.956023693748914,21.911513064297818,-0.4080000000000001,0.23916800000000027,7,50.0,0
107,11,13,1,22.48460235434667,22.095288913920005,0,0.6000000000000001,7,41.66666666666667,0.0,12,12,0,19.826297872384004,23.53619152213334,-0.6000000000000001,-0.17632000000000003,7,23.076923076923077,0
108,3,1,1,23.461780163269978,20.437622439403526,0,0.4,3,85.71428571428571,-0.6000000000000001,13,11,0,21.03244984948054,24.42801491012267,-0.6000000000000001,-0.8489344000000001,3,23.076923076923077,0
109,1,5,1,23.784414042686535,20.59432910636101,0,1.1001600000000002,5,93.33333333333333,-0.4,4,4,1,23.82681277568342,21.091986514083843,1.4128000000000003,1.8022476800000005,7,71.42857142857143,0
110,8,8,0,21.814818954999133,22.329210451438257,0,-0.7264000000000002,3,46.666666666666664,-0.4,10,8,0,22.66173053392214,22.367650143524184,-0.6000000000000001,0.32937472000000007,4,40.0,0
111,13,11,0,21.425959879584433,24.742411928098136,0,-1.08,5,21.428571428571427,0.0,11,13,0,21.854348550144003,22.676231131136003,-0.6000000000000001,0.42784,5,38.46153846153847,0
112,5,2,0,23.18568759405227,22.397876691913392,0,-0.04799999999999993,7,71.42857142857143,-0.6000000000000001,14,12,0,20.32842964343194,24.79145215187354,-1.08,-2.0470144,6,6.666666666666667,0
113,3,1,1,23.969424130615984,20.950097951522825,0,0.6000000000000001,5,86.66666666666667,-0.6000000000000001,12,12,1,20.861038297907204,22.69561988437334,0.12,0.458944,5,28.57142857142857,0
114,5,4,0,23.411450220546737,21.673589211267075,0,0.7302400000000003,3,66.66666666666666,-0.6000000000000001,9,10,1,22.512449935889755,23.456250318984537,0.4,-0.2348800000000001,6,42.857142857142854,0
115,3,3,1,24.192803821278556,20.597499641324617,0,0.4,6,86.66666666666667,-0.4,7,10,1,23.417482264608772,21.15964599466503,1.2694400000000003,1.2517452800000002,7,53.333333333333336,0
116,3,1,1,24.175539304492787,20.493411694551593,0,0.6000000000000001,1,87.5,-0.6000000000000001,11,13,0,22.15014550678187,23.3409849049088,-1.08,-0.25772800000000007,1,35.714285714285715,0
117,9,10,1,22.559959948711807,22.86500025518763,0,0.7200000000000001,2,46.666666666666664,0.6000000000000001,1,5,1,23.82753123414923,20.82546328508881,0.4,1.4895749120000001,5,93.75,0
118,13,11,1,22.340767903667548,24.460596209145177,0,0.6000000000000001,2,26.666666666666668,-0.6000000000000001,12,12,0,20.4221639716591,23.156495907498673,-0.5040000000000001,-0.23284480000000007,2,26.666666666666668,0
119,15,99,0,20.99724592349949,23.972406468184204,0,-0.7200000000000001,7,0.0,0.4,5,4,0,22.82916017643739,21.88887136901366,-0.4,1.0417981440000004,2,62.5,0
120,3,3,1,24.62090972368951,20.74466637972636,0,0.6000000000000001,2,87.5,-0.6000000000000001,10,8,0,22.36938442713771,22.01412011481935,-0.6800000000000002,0.06349977600000006,5,37.5,0
121,8,8,1,21.57185516399931,22.103368361150608,0,0.2,5,50.0,0.2,7,10,0,23.000652478353683,22.19438346239869,0.41555200000000014,0.4013962240000002,2,50.0,0
